Id	Name	P-Set	Value	Unit	Remark
		1	0000 0000  0000 0000  0001 0000  0000 0101B		
		2	0000 0000  0000 0000  0001 0000  0000 0101B		
		3	0000 0000  0000 0000  0001 0000  0000 0101B		
32774	Rotor time constant	0	0.0100	s	
		1	0.0360	s	
		2	0.0360	s	
		3	0.0360	s	
32775	Pole number motor	0	10		
		1	4		
		2	4		
		3	4		
32776	Sinus encoder period	0	16384		
		1	1024		
		2	1024		
		3	1024		
32780	Accel. ramp	0	100.0	ms	
		1	100.0	ms	
		2	100.0	ms	
		3	100.0	ms	
32781	Decel. ramp	0	100.0	ms	
		1	100.0	ms	
		2	100.0	ms	
		3	100.0	ms	
32782	Decel.ramp RF inactive	0	100.0	ms	
		1	100.0	ms	
		2	100.0	ms	
		3	100.0	ms	
32795	Source UE	0	0		
32796	Source RF	0	5		
32798	User list 1	0	11		
32798-2		0	0001H		
32798-3		0	01F4H		
32798-4		0	0032H		
32798-5		0	01F4H		
32798-6		0	0258H		
32798-7		0	01C2H		
32798-8		0	047EH		
32798-9		0	04E2H		
32798-10		0	00FAH		
32798-11		0	04E2H		
32798-12		0	0578H		
32800	AMK main op. mode	0	00480002H		
		1	00430043H		
		2	00430043H		
		3	00430043H		
32801	AMK second op. mode 1	0	00430043H		
		1	00430043H		
		2	00430043H		
		3	00430043H		
32802	AMK second op. mode 2	0	00430043H		
		1	00430043H		
		2	00430043H		
		3	00430043H		
32803	AMK second op. mode 3	0	00430043H		
		1	00430043H		
		2	00430043H		
		3	00430043H		
32804	AMK second op. mode 4	0	00430043H		
		1	00430043H		
		2	00430043H		
		3	00430043H		
32805	AMK second op. mode 5	0	00430043H		
		1	00430043H		
		2	00430043H		
		3	00430043H		
32806	AMK second op. mode 6	0	00430043H		
		1	00430043H		
		2	00430043H		
		3	00430043H		
32807	AMK dig.torque contr.	0	00480002H		
		1	00480002H		
		2	00480002H		
		3	00480002H		
32808	AMK position control	0	00440404H		
		1	00440404H		
		2	00440404H		
		3	00440404H		
32809	AMK dig. speed control	0	00480043H		
		1	00480043H		
		2	00480043H		
		3	00480043H		
32813	Par.set assignm. 1	0	03020100H		
32821	Password	0	0		
32823	Veloc.cmd.a.ramp	0	0.0000	1/min	
32824	Follow. distance	0	0	incr.	
		1	0	incr.	
		2	0	incr.	
		3	0	incr.	
32826	SAK value	0	0	incr.	
		1	0	incr.	
		2	0	incr.	
		3	0	incr.	
32827	Magn.curr.feedb.	0	0.0	A	
32828	Actual curr. value phase U	0	0.00	A	
32829	Actual curr. value phase V	0	0.00	A	
32830	Actual curr. value phase W	0	0.00	A	
32831	Comm. angle	0	0	incr.	
32832	Encoder signal S2	0	0	mV	
32833	Encoder signal S1	0	0	mV	
32834	Torque curr.feedback	0	0.0	A	
32835	Torque command value intern	0	0.0	% MN	
		1	0.0	% MN	
		2	0.0	% MN	
		3	0.0	% MN	
32836	DC-bus voltage	0	0	V	
32837	DC-bus monitoring	0	50.0	V	
32840	Diagnostic list	0	0		
32841	Encoder list motor	0	0		
32842	Encoder list customer	0	0		
32843	Service command	0	0000H		
32864	Output port 3	0	544		
32865	Port 3 bit 0	0	0		
32866	Port 3 bit 1	0	0		
32867	Port 3 bit 2	0	0		
32882	Slot assignment	0	00000000H		
32887	Park position	0	0	incr.	
32888	Park speed	0	0.0000	1/min	
32891	Velocity command value inter	0	0.0000	1/min	
		1	0.0000	1/min	
		2	0.0000	1/min	
		3	0.0000	1/min	
32894	Pos.cmd.val.filt.	0	0	ms	
32895	Diff.time pos. control	0	0.0	ms	
		1	0.0	ms	
		2	0.0	ms	
		3	0.0	ms	
32896	Position command value int.	0	0	incr.	
		1	0	incr.	
		2	0	incr.	
		3	0	incr.	
32901	Global service bits	0	0000 0000  0000 0001  0000 0010  0100 0000B		
32904	Inverter on	0	0000H		
32913	Clear error	0	0000H		
32914	Sum add. velocity	0	0.0000	1/min	
32915	Sum add. torque	0	0.0	% MN	
32916	Cyclic filter	0	0		
32917	Time zone	0			
32919	Service list	0	0		
32920	O.load time mot.	0	5.0	s	
		1	5.0	s	
		2	5.0	s	
		3	5.0	s	
32922	Resid.dist.erase wind.	0	100000000	incr.	
		1	100000000	incr.	
		2	100000000	incr.	
		3	100000000	incr.	
32924	Op.mode change par.	0	0000 0000  0000 0001B		
		1	0000 0000  0000 0001B		
		2	0000 0000  0000 0001B		
		3	0000 0000  0000 0001B		
32926	AMK homing cycle par.	0	0000 1000  0000 0000B		
		1	0000 1000  0000 0000B		
		2	0000 1000  0000 0000B		
		3	0000 1000  0000 0000B		
32928	Time filter 1	0	0.0	ms	
		1	0.0	ms	
		2	0.0	ms	
		3	0.0	ms	
32929	Time filter 2	0	0.0	ms	
		1	0.0	ms	
		2	0.0	ms	
		3	0.0	ms	
32932	Barrier frequ.	0	0	Hz	
		1	0	Hz	
		2	0	Hz	
		3	0	Hz	
32933	Band width	0	0	Hz	
		1	0	Hz	
		2	0	Hz	
		3	0	Hz	
32935	Voltage standstill	0	0.0	V	
		1	0.0	V	
		2	0.0	V	
		3	0.0	V	
32936	Window	0	1000	incr.	
		1	1000	incr.	
		2	1000	incr.	
		3	1000	incr.	
32938	Customer var. 1	0	0000H		
		1	0000H		
		2	0000H		
		3	0000H		
32940	High homing velocity	0	1000.0000	1/min	
		1	1000.0000	1/min	
		2	1000.0000	1/min	
		3	1000.0000	1/min	
32941	SERCOS service	0	00000000H		
32942	Service control	0	00000000H		
32943	Warning time	0	4.00	s	
32944	SYADR	0	00000000H		
32945	List parameter set	0	0		
32946	Drive DB file	0	0		
32948	Message 4x32	0	00000000H		
32952	At sync. speed window	0	1000	incr.	
		1	1000	incr.	
		2	1000	incr.	
		3	1000	incr.	
32953	Encoder type	0	003CH		
		1	0000H		
		2	0000H		
		3	0000H		
32956	Add. acceleration value	0	10		
		1	10		
		2	10		
		3	10		
32959	Offset resolver	0	0		
		1	0		
		2	0		
		3	0		
32960	Input M.enc. gear	0	1	rev.	
		1	1	rev.	
		2	1	rev.	
		3	1	rev.	
32961	Output M.enc. gear	0	1	rev.	
		1	1	rev.	
		2	1	rev.	
		3	1	rev.	
32977	Input port 3	0	32		
32978	Port 3 bit 0	0	0		
32979	Port 3 bit 1	0	0		
32980	Port 3 bit 2	0	0		
32986	Factor derating	0	0		
32987	Treshold derating	0	50.0	%	
32988	Delay software reset	0	1000	ms	
32989	Torque filt.time	0	0	ms	
		1	0	ms	
		2	0	ms	
		3	0	ms	
32990	NK-shift	0	0	incr.	
		1	0	incr.	
		2	0	incr.	
		3	0	incr.	
32991	V/F start up	0	0	%	
		1	0	%	
		2	0	%	
		3	0	%	
32993	Dead time comp.2	0	0.000	ms	
		1	0.000	ms	
		2	0.000	ms	
		3	0.000	ms	
32996	Data signification	0	0		
32999	Overload limit inverter	0	50.0	%	
33076	Second period	0	0		
33098	Incr.Pos.value	0	0	incr.	
33100	Actual power value	0	0	W	
33101	Display overload inverter	0	0.0	%	
33102	Display overload motor	0	0.0	%	
33104	Position feedback mod.	0	0	incr.	
		1	0	incr.	
		2	0	incr.	
		3	0	incr.	
33113	Torq.cmd.val.C.	0	0.00	% MN	
33116	Temperature internal	0	0.0	grd C	
33117	Temperature external	0	0.0	grd C	
33141	V/F input filter	0	0.0	ms	
		1	0.0	ms	
		2	0.0	ms	
		3	0.0	ms	
33142	Commutation valid	0	0000 0000  0000 0000B		
33143	Communication monitor	0	0		
33144	Timeout communication monito	0	200	ms	
33145	OSC channel 1	0	0		
33146	OSC channel 2	0	0		
33147	OSC channel 3	0	0		
33148	OSC channel 4	0	0		
33149	Saturation current	0	0.0	A	
		1	0.0	A	
		2	0.0	A	
		3	0.0	A	
33150	Brake torque	0	0.0	% MN	
		1	0.0	% MN	
		2	0.0	% MN	
		3	0.0	% MN	
33151	max. angle difference encode	0	0.0	grad	
		1	0.0	grad	
		2	0.0	grad	
		3	0.0	grad	
33170	IPO mode	0	0		
33171	Active power (el.)	0	0	W	
33172	Reactive power (el.)	0	0	var	
33174	Damping factor position	0	0.0	%	
		1	0.0	%	
		2	0.0	%	
		3	0.0	%	
33175	List glitch filter time	0	0		
33176	Process data 1	0	0		
33177	Process data 2	0	0		
33178	Process data 3	0	0		
33179	Process data 4	0	0		
33180	Performance index sensorless	0	0		
33181	Actual current Ia	0	0.000	A	
33182	Actual current Ib	0	0.000	A	
33183	Voltage Ua	0	0.0	V	
33184	Voltage Ub	0	0.0	V	
33185	Magn.curr.feedb.	0	0.000	A	
33186	Torque curr.feedback	0	0.000	A	
33187	Actual curr. value phase U	0	0.000	A	
33188	Actual curr. value phase V	0	0.000	A	
33189	Actual curr. value phase W	0	0.000	A	
33190	Velocity feedforward factor 	0	0.00	%	
		1	0.00	%	
		2	0.00	%	
		3	0.00	%	
33191	Velocity feedforward delay 1	0	0.000	ms	
		1	0.000	ms	
		2	0.000	ms	
		3	0.000	ms	
33192	Delay target position value	0	0.000	ms	
		1	0.000	ms	
		2	0.000	ms	
		3	0.000	ms	
33196	Display friction torque	0	0.00	Nm	
33197	Display friction torque line	0	0.00	Nm	
33198	Display holding torque	0	0.0	Nm	
33199	Display of moment of inertia	0	0.000	kgcm2	
33300	Motion Test 1	0	0		
33301	Motion Test 2	0	0		
33302	Motion Test 3	0	0		
33303	Motion Test 4	0	0		
33304	Motion service switch	0	0000 0000  0000 0000  0000 0000  0000 0000B		
		1	0000 0000  0000 0000  0000 0000  0000 0000B		
		2	0000 0000  0000 0000  0000 0000  0000 0000B		
		3	0000 0000  0000 0000  0000 0000  0000 0000B		
33305	Variable positive torque lim	0	0.0	% MN	
		1	0.0	% MN	
		2	0.0	% MN	
		3	0.0	% MN	
33306	Variable negative torque lim	0	0.0	% MN	
		1	0.0	% MN	
		2	0.0	% MN	
		3	0.0	% MN	
33307	Time constant variable torqu	0	0	ms	
		1	0	ms	
		2	0	ms	
		3	0	ms	
33308	Output mask	0	00000000H		
33309	List absolute position	0	0		
33310	Thermal resistance winding s	0	0	K/W	
		1	0	K/W	
		2	0	K/W	
		3	0	K/W	
33311	Thermal resistance stator-ro	0	0	K/W	
		1	0	K/W	
		2	0	K/W	
		3	0	K/W	
33312	Thermal resistance stator en	0	0	K/W	
		1	0	K/W	
		2	0	K/W	
		3	0	K/W	
33313	Ambient temperatureThermal r	0	0	K/W	
		1	0	K/W	
		2	0	K/W	
		3	0	K/W	
33314	Thermal capacity winding	0	0	J/K	
		1	0	J/K	
		2	0	J/K	
		3	0	J/K	
33315	Thermal capacity stator	0	0	J/K	
		1	0	J/K	
		2	0	J/K	
		3	0	J/K	
33316	Thermal capacity rotor	0	0	J/K	
		1	0	J/K	
		2	0	J/K	
		3	0	J/K	
33317	Electrical winding resistanc	0	0	Ohm	
		1	0	Ohm	
		2	0	Ohm	
		3	0	Ohm	
33318	Ambient temperature	0	0	K	
		1	0	K	
		2	0	K	
		3	0	K	
33319	Magnetic flux density propor	0	0	T2/V2s2	
		1	0	T2/V2s2	
		2	0	T2/V2s2	
		3	0	T2/V2s2	
33320	Hysteresis proportional fact	0	0	J/T2	
		1	0	J/T2	
		2	0	J/T2	
		3	0	J/T2	
33321	Eddy current proportional fa	0	0	Js/T2	
		1	0	Js/T2	
		2	0	Js/T2	
		3	0	Js/T2	
33322	Thermal model reserve 1	0	0		
		1	0		
		2	0		
		3	0		
33323	Thermal model reserve 2	0	0		
		1	0		
		2	0		
		3	0		
33324	Thermal model reserve 3	0	0		
		1	0		
		2	0		
		3	0		
33325	Thermal model reserve 4	0	0		
		1	0		
		2	0		
		3	0		
33326	Thermal model reserve 5	0	0		
		1	0		
		2	0		
		3	0		
33327	Thermal model reserve 6	0	0		
		1	0		
		2	0		
		3	0		
33328	Thermal model reserve 7	0	0		
		1	0		
		2	0		
		3	0		
33329	Thermal model reserve 8	0	0		
		1	0		
		2	0		
		3	0		
33730	System booting	0	0000H		
33732	System reset	0	0000H		
34023	BUS address part.	0	0001H		
		1	0000H		
		2	0000H		
		3	0000H		
34025	BUS mode	0	0000H		
		1	0000H		
		2	0000H		
		3	0000H		
34026	BUS mode attribut	0	0000H		
		1	0000H		
		2	0000H		
		3	0000H		
34027	BUS fail.charac.	0	2		
		1	2		
		2	2		
		3	2		
34039	OSC Control	0	0000H		
34040	OSC config list	0	0		
34041	OSC actual values	0	0		
34042	OSC data list	0	0		
34043	TG Control	0	0000H		
34044	TG config list	0	0		
34045	Inductance LD	0	0.24	mH	
		1	0.00	mH	
		2	0.00	mH	
		3	0.00	mH	
34046	Inductance LQ	0	0.12	mH	
		1	0.00	mH	
		2	0.00	mH	
		3	0.00	mH	
34047	Dead time meas.1	0	0.000	ms	
34048	PWM frequency	0	8	kHz	
		1	8	kHz	
		2	8	kHz	
		3	8	kHz	
34050	TN current Q	0	1.2	ms	
		1	0.0	ms	
		2	0.0	ms	
		3	0.0	ms	
34052	TN current D	0	1.2	ms	
		1	0.0	ms	
		2	0.0	ms	
		3	0.0	ms	
34053	ID transfer	0	0		
34055	EF type	0	0		
34060	List SEEP 1	0	0		
34061	List SEEP 2	0	0		
34062	Fault statistic	0	0		
34063	Time meter power	0	0		
34069	Starting current	0	0.000	A	
		1	0.000	A	
		2	0.000	A	
		3	0.000	A	
34070	Home signal distance	0	0	incr.	
		1	0	incr.	
		2	0	incr.	
		3	0	incr.	
34071	System name	0	Inverter104_RR		
34072	Data set name	0	aipexInverter-FreeTorqueNEW		
34073	Scaling parameters	0	0		
34074	Homing Counter 1	0	0	incr.	
34075	Actual Counter 1	0	0	incr.	
34076	Homing Counter 2	0	0	incr.	
34077	Actual Counter 2	0	0	incr.	
34088	Event trace	0			
34090	User list 2	0	0		
34091	User list 3	0	91		
34091-2		0	0501H		
34091-3		0	0284H		
34091-4		0	0032H		
34091-5		0	0008H		
34091-6		0	0204H		
34091-7		0	0300H		
34091-8		0	1000H		
34091-9		0	0000H		
34091-10		0	0002H		
34091-11		0	0005H		
34091-12		0	1010H		
34091-13		0	0202H		
34091-14		0	1300H		
34091-15		0	1000H		
34091-16		0	0220H		
34091-17		0	0002H		
34091-18		0	0019H		
34091-19		0	3010H		
34091-20		0	8602H		
34091-21		0	3202H		
34091-22		0	0800H		
34091-23		0	0400H		
34091-24		0	0002H		
34091-25		0	0007H		
34091-26		0	0010H		
34091-27		0	0202H		
34091-28		0	0800H		
34091-29		0	1000H		
34091-30		0	0210H		
34091-31		0	0002H		
34091-32		0	0015H		
34091-33		0	2010H		
34091-34		0	0200H		
34091-35		0	1B00H		
34091-36		0	1000H		
34091-37		0	0230H		
34091-38		0	0288H		
34091-39		0	0032H		
34091-40		0	0008H		
34091-41		0	0003H		
34091-42		0	4400H		
34091-43		0	1080H		
34091-44		0	0000H		
34091-45		0	0002H		
34091-46		0	001AH		
34091-47		0	1010H		
34091-48		0	0002H		
34091-49		0	3C00H		
34091-50		0	2080H		
34091-51		0	0220H		
34091-52		0	0290H		
34091-53		0	0032H		
34091-54		0	0008H		
34091-55		0	0002H		
34091-56		0	3D00H		
34091-57		0	2080H		
34091-58		0	0200H		
34091-59		0	0000H		
34091-60		0	803EH		
34091-61		0	2020H		
34091-62		0	9202H		
34091-63		0	3202H		
34091-64		0	0800H		
34091-65		0	0200H		
34091-66		0	0002H		
34091-67		0	0016H		
34091-68		0	0020H		
34091-69		0	0000H		
34091-70		0	4C00H		
34091-71		0	2081H		
34091-72		0	0020H		
34091-73		0	8501H		
34091-74		0	E801H		
34091-75		0	0803H		
34091-76		0	0400H		
34091-77		0	0002H		
34091-78		0	0004H		
34091-79		0	0010H		
34091-80		0	0200H		
34091-81		0	1100H		
34091-82		0	1000H		
34091-83		0	0010H		
34091-84		0	0002H		
34091-85		0	000DH		
34091-86		0	2010H		
34091-87		0	0200H		
34091-88		0	0E00H		
34091-89		0	1000H		
34091-90		0	0030H		
34091-91		0	01F4H		
34091-92		0	0000H		
34094	Rise time SWC	0	0.000	A/s	
		1	0.000	A/s	
		2	0.000	A/s	
		3	0.000	A/s	
34095	Final value SWC	0	0.0	A	
		1	0.0	A	
		2	0.0	A	
		3	0.0	A	
34096	Standstill current	0	53.100	A	
		1	0.000	A	
		2	0.000	A	
		3	0.000	A	
34099	Delay time SWC	0	0	ms	
		1	0	ms	
		2	0	ms	
		3	0	ms	
34100	Binary input word	0	0000H		
34117	OSC config list 2	0	0		
34118	Brake mode	0	0000 0000  0000 0000B		
		1	0000 0000  0000 0000B		
		2	0000 0000  0000 0000B		
		3	0000 0000  0000 0000B		
34119	Torque constant Kt adaption	0	0.000	Nm/A	
34120	Binary output word	0	0000H		
34146	Memory address	0	00000000H		
34147	Memory data	0	0000H		
34148	Kp V.contr.gain	0	0.050	A/V	
		1	0.050	A/V	
		2	0.050	A/V	
		3	0.050	A/V	
34149	V contr.int.time	0	100.0	ms	
		1	5.0	ms	
		2	5.0	ms	
		3	5.0	ms	
34151	Kp current Q	0	0.64	V/A	
		1	0.00	V/A	
		2	0.00	V/A	
		3	0.00	V/A	
34152	Kp current D	0	0.58	V/A	
		1	0.00	V/A	
		2	0.00	V/A	
		3	0.00	V/A	
34153	Maximum speed motor	0	100000.0000	1/min	
		1	100000.0000	1/min	
		2	100000.0000	1/min	
		3	100000.0000	1/min	
34154	Start marker	0	0	incr.	
34155	Marker window	0	0	incr.	
34157	Dead time meas.	0	0.000	ms	
34160	Part number motor	0	A2370DD		
		1			
		2			
		3			
34161	Prod. date motor	0	0		
34162	Serial number motor	0	0		
34164	Resistance Rtt	0	0.14	Ohm	
		1	0.00	Ohm	
		2	0.00	Ohm	
		3	0.00	Ohm	
34165	Hold. torque brake	0	0.0	Nm	
		1	0.0	Nm	
		2	0.0	Nm	
		3	0.0	Nm	
34166	Temperature sensor motor	0	14016		
		1	0		
		2	0		
		3	0		
34167	Inductance Ltt	0	0.0	mH	
		1	0.0	mH	
		2	0.0	mH	
		3	0.0	mH	
34168	Time Imax motor	0	1.2	s	
		1	0.0	s	
		2	0.0	s	
		3	0.0	s	
34171	Event filter	0	0000H		
34173	NTP serveraddress	0	0100007FH		
34174	SWK monitoring	0	18		
34174-2		0	130		
34174-3		0	90		
34174-4		0	50		
34174-5		0	50		
34174-6		0	0		
34174-7		0	0		
34174-8		0	0		
34174-9		0	10		
34174-10		0	0		
34174-11		0	0		
34174-12		0	0		
34174-13		0	0		
34174-14		0	0		
34174-15		0	0		
34174-16		0	0		
34174-17		0	0		
34174-18		0	0		
34174-19		0	0		
		1	0		
		2	0		
		3	0		
34177	Lower threshold current adap	0	19	%	
		1	100	%	
		2	100	%	
		3	100	%	
34178	Upper threshold current adap	0	68	%	
		1	100	%	
		2	100	%	
		3	100	%	
34179	Gradient KpQ	0	20	%	
		1	100	%	
		2	100	%	
		3	100	%	
34180	Gradient TnQ	0	400	%	
		1	100	%	
		2	100	%	
		3	100	%	
34182	Limit position increment	0	2147483647	incr.	
		1	2147483647	incr.	
		2	2147483647	incr.	
		3	2147483647	incr.	
34183	Velocity Threshold SL	0	0.0000	1/min	
		1	0.0000	1/min	
		2	0.0000	1/min	
		3	0.0000	1/min	
34184	Compensation dead time PWM	0	0		
34185	Resistance rotor	0	0.0000	Ohm	
34186	Inductance stator	0	0.0000	mH	
34187	Inductance rotor	0	0.0000	mH	
34188	Main inductance	0	0.0000	mH	
34189	Bit list sensorless	0	0000 0000  0000 0000B		
34190	Bit list parameter finding	0	0000 0000  0000 0000B		
34191	Velocity acquisition KP	0	0		
34192	Velocity acquisition Ki	0	0		
34193	Nominal current	0	0.0	A	
34194	Peak current	0	0.0	A	
34195	Peak current time	0	0.0	s	
34196	Treshold external component	0	50.0	%	
34197	Display external component	0	0.0	%	
34199	Actual power value bipolar	0	0	W	
34202	Bit mask port 3	0	0000H		
34203	Voltage at 25 degree	0	0.754	V	
34204	Voltage at 75 degree	0	1.067	V	
34205	Voltage at 125 degree	0	1.450	V	
34206	Product code	0	00000903H		
34210	Dead time meas.2	0	0.000	ms	
34212	Voltage Usq	0	0.0	V	
34213	Voltage Usd	0	0.0	V	
34215	Temperature IGBT	0	0.0	grd C	
34217	AMK Test 1	0	0		
34218	AMK Test 2	0	0		
34219	AMK Test 3	0	0		
34220	AMK Test 4	0	0		
34221	Friction torque	0	0.00	Nm	
		1	0.00	Nm	
		2	0.00	Nm	
		3	0.00	Nm	
34222	Friction torque linear	0	0.00	Nm	
		1	0.00	Nm	
		2	0.00	Nm	
		3	0.00	Nm	
34223	Holding torque	0	0.0	Nm	
		1	0.0	Nm	
		2	0.0	Nm	
		3	0.0	Nm	
34224	Inertia	0	0.000	kgcm2	
		1	0.000	kgcm2	
		2	0.000	kgcm2	
		3	0.000	kgcm2	
34225	Mode pilot control	0	0000 0000  0000 0000  0000 0000  0000 0000B		
		1	0000 0000  0000 0000  0000 0000  0000 0000B		
		2	0000 0000  0000 0000  0000 0000  0000 0000B		
		3	0000 0000  0000 0000  0000 0000  0000 0000B		
34226	List load model	0	0		
		1	0		
		2	0		
		3	0		
34227	Motion control bits	0	0000 0000  0000 0000B		
34228	Angle feed forward SL	0	0		
34229	Sliding factor SL	0	0.0		
34230	List bus	0	0		
		1	0		
		2	0		
		3	0		
34231	Usq pilot control	0	0.0	V	
34232	Usd pilot control	0	0.0	V	
34233	Resistance Rs	0	0.000	Ohm	
		1	0.000	Ohm	
		2	0.000	Ohm	
		3	0.000	Ohm	
34234	Voltage constant Ke	0	18.8	V/krmp	
		1	0.0	V/krmp	
		2	0.0	V/krmp	
		3	0.0	V/krmp	
34235	increase motor voltage	0	116.0	%	
		1	115.5	%	
		2	115.5	%	
		3	115.5	%	
34238	List IR filter	0	0		
		1	0		
		2	0		
		3	0		
34239	V/F Integratorstopp	0	0	%	
34243	Offset commutation	0	0	incr.	
		1	0	incr.	
		2	0	incr.	
		3	0	incr.	
34244	Electrical field angle	0	0	incr.	
34246	ZR-current T1-d	0	2.000	ms	
		1	2.000	ms	
		2	2.000	ms	
		3	2.000	ms	
34247	ZR-current T2-d	0	2.000	ms	
		1	2.000	ms	
		2	2.000	ms	
		3	2.000	ms	
34248	ZR-current T1-q	0	2.000	ms	
		1	2.000	ms	
		2	2.000	ms	
		3	2.000	ms	
34249	ZR-current T2-q	0	2.000	ms	
		1	2.000	ms	
		2	2.000	ms	
		3	2.000	ms	
34261	Customer variable 2	0	00000000H		
		1	00000000H		
		2	00000000H		
		3	00000000H		
34262	Motor encoder database image	0	0		
34264	Maximum torque	0	3000.0	% MN	
		1	3000.0	% MN	
		2	3000.0	% MN	
		3	3000.0	% MN	
34265	encoder ratio	0	101		
34266	Voltage reserve	0	30.0	V	
34273	Osci 1	0	0		
34274	Osci 2	0	0		
34275	Osci 3	0	0		
34276	Osci 4	0	0		
34277	Osci 5	0	0		
34278	Osci 6	0	0		
34279	Osci 7	0	0		
34280	Osci 8	0	0		
34281	Current setpoint ISQ	0	0		
34282	Current setpoint ISD	0	0		
34283	Comm. angle	0	0		
34284	OSC container len	0	20000	byte	
34285	Motion data list	0	0		
34286	Time stop drive cmd.	0	100	ms	
		1	100	ms	
		2	100	ms	
		3	100	ms	
34298	Torque feedback filter	0	0	ms	
		1	0	ms	
		2	0	ms	
		3	0	ms	
34299	Velocity setpoint in control	0	0.0000	1/min	
34300	Velocity act. value in contr	0	0.0000	1/min	
34301	Torque setpoint filter input	0	0.0	% MN	
34302	Torque setpoint filter outpu	0	0.0	% MN	
34303	DC-bus monitor upper limit	0	0.0	V	
34304	Comm. input word	0	0000H		
34816	Comm. output word	0	0000H		
35328	Comm. input double word	0	00000000H		
35584	Comm. output double word	0	00000000H		
